persona_id,persona,engaging,coherence,positive,sum,e+c,,,engaging,coherence,positive,sum,e+c
23,driving in the country side is a pastime .,0.312122373,0.690441875,0.671978008,1.674542256,1.002564248,,,,,,,
24,during the week i go to college to become a lawyer .,0.426264617,0.660227708,0.454692849,1.541185174,1.086492325,,,,,,,
25,every day i drive an hour to work in this horrible traffic .,0.453359329,0.748185708,0.579767279,1.781312316,1.201545037,,,,,,,
26,every fall i visit my sister in canada .,0.366449564,0.728247528,0.667930063,1.762627155,1.094697093,,,,,,,
27,everyday after work i buy my dog a dog biscuit .,0.28660876,0.729093357,0.675150971,1.690853087,1.015702117,,,,,,,
28,everyday i go swimming at the y .,0.228197627,0.685201965,0.667134831,1.580534423,0.913399592,,,,,,,
29,everyone says my pecan pie is the best they have ever had .,0.253062706,0.739592407,0.711721787,1.7043769,0.992655113,,,,,,,
30,favorite band is the beetles .,0.248923668,0.696732298,0.69011801,1.635773976,0.945655966,,,,,,,
31,ferrari is my favorite car company .,0.317764397,0.756326734,0.703253363,1.777344494,1.074091131,,,,,,,
32,food and water are essential to me in life .,0.351891096,0.769670921,0.675391736,1.796953753,1.121562017,,,,,,,
33,formal situations make me uncomfortable .,0.391476158,0.753727498,0.52060651,1.665810166,1.145203656,,,,,,,
34,god has always been put first in my life .,0.319068152,0.757861193,0.655667801,1.732597145,1.076929344,,,,,,,
35,going snorkeling is my favorite thing to do .,0.184694028,0.6558487,0.771714607,1.612257335,0.840542728,,,,,,,
36,grandma makes jewelry .,0.316697399,0.743060624,0.599298546,1.659056569,1.059758023,,,,,,,
37,grandpa takes me to get ice cream .,0.265585802,0.718079452,0.618136764,1.601802019,0.983665254,,,,,,,
38,gymnastics is my favorite sport .,0.296543858,0.726261315,0.708385834,1.731191007,1.022805173,,,,,,,
39,he later became a bartender .,0.355652375,0.70834001,0.540861546,1.60485393,1.063992385,,,,,,,
40,he taught me right from wrong .,0.332786855,0.775440602,0.638278218,1.746505675,1.108227457,,,,,,,
41,he worked hard .,0.392932836,0.77549213,0.596993335,1.765418301,1.168424966,,,,,,,
42,hello i just moved here from germany .,0.448996656,0.715523138,0.535527934,1.700047728,1.164519794,,,,,,,
43,helping people makes me happy .,0.394463073,0.721757846,0.750975425,1.867196344,1.116220919,,,,,,,
44,i actually like wearing suits and ties .,0.370128993,0.716095943,0.665649407,1.751874343,1.086224936,,,,,,,
45,i adopted all my dogs .,0.231744298,0.726379019,0.742832064,1.700955381,0.958123317,,,,,,,
46,i almost always wear a t shirt and jeans .,0.374836632,0.737117754,0.606393336,1.718347722,1.111954386,,,,,,,
47,i also dance and sing .,0.262631566,0.707891654,0.637704515,1.608227735,0.970523219,,,,,,,
48,i also give blood monthly in honor of my sister who died .,0.395627993,0.717194296,0.551469906,1.664292195,1.112822289,,,,,,,
49,i also have a dog walking business .,0.288536298,0.6976446,0.535374479,1.521555376,0.986180897,,,,,,,
50,i also like a glass of wine in the evenings .,0.269042498,0.712253088,0.701204074,1.68249966,0.981295587,,,,,,,
51,i also like old school hip hop .,0.236597599,0.717574523,0.704909246,1.659081368,0.954172122,,,,,,,
52,i also love orange juice .,0.295620313,0.734906088,0.708873277,1.739399679,1.030526402,,,,,,,
53,i also meditate a lot .,0.405815569,0.668423046,0.502584318,1.576822933,1.074238614,,,,,,,
54,i also own a cupcake business .,0.345970159,0.707545732,0.599547096,1.653062987,1.053515891,,,,,,,
55,i also study languages .,0.369206134,0.723938698,0.567944326,1.661089157,1.093144831,,,,,,,
56,i also work as a custodian to help pay the bills .,0.449981302,0.65267309,0.489884476,1.592538867,1.102654392,,,,,,,
57,i always answer my cellphone .,0.384976122,0.770610295,0.593533774,1.749120191,1.155586418,,,,,,,
58,i always have a beer after work .,0.330323023,0.729877829,0.618489414,1.678690267,1.060200852,,,,,,,
59,i always put my left sock on first .,0.335864959,0.755076326,0.584500416,1.675441701,1.090941284,,,,,,,
60,"i always seem to be losing things , most recently , my mind .",0.477017755,0.726363735,0.431472245,1.634853734,1.203381489,,,,,,,
61,i always think people are looking at me .,0.375668102,0.768600393,0.547204174,1.691472669,1.144268495,,,,,,,
62,i always travel alone .,0.434586363,0.704378475,0.556677059,1.695641896,1.138964838,,,,,,,
63,i aspire to be a millionaire .,0.371015581,0.715484622,0.730916049,1.817416252,1.086500203,,,,,,,
64,i aspire to paint murals .,0.290647099,0.71339738,0.685792814,1.689837293,1.004044479,,,,,,,
65,i attend book club every week .,0.367979791,0.699376698,0.600442101,1.66779859,1.067356489,,,,,,,
66,i auditionated in a cooking show .,0.362191828,0.688776093,0.630220854,1.681188776,1.050967921,,,,,,,
67,i avoid eating sugar .,0.336201825,0.742967361,0.578481284,1.65765047,1.079169186,,,,,,,
68,i babysit for the woman who lives next door .,0.361018927,0.675528422,0.461588211,1.498135561,1.03654735,,,,,,,
69,i barely show up to work .,0.44159678,0.762839341,0.470423904,1.674860025,1.204436121,,,,,,,
70,i believe dragons are real .,0.261554333,0.6949602,0.613478302,1.569992835,0.956514533,,,,,,,
71,i believe i hear voices .,0.399358885,0.712675865,0.460597339,1.572632089,1.11203475,,,,,,,
72,i believe in aliens .,0.328552231,0.749442522,0.597560541,1.675555294,1.077994752,,,,,,,
73,i believe in fairytales .,0.285967907,0.734038711,0.662276111,1.682282729,1.020006618,,,,,,,
74,i believe in ghosts and have seen them on several occasions .,0.353476973,0.659546932,0.462350534,1.475374439,1.013023905,,,,,,,
75,i believe in karma .,0.359635725,0.770489646,0.622912176,1.753037547,1.130125371,,,,,,,
76,i believe in leprechauns .,0.288013332,0.730420919,0.621872857,1.640307108,1.018434251,,,,,,,
77,i believe in love at first sight .,0.311558467,0.769428379,0.770816203,1.851803049,1.080986846,,,,,,,
78,i believe that i can achieve anything .,0.411473818,0.770999247,0.634069729,1.816542794,1.182473065,,,,,,,
79,i believe that mermaids are real .,0.268635895,0.714689282,0.648981621,1.632306798,0.983325177,,,,,,,
80,i blame myself for all of my problems .,0.42437899,0.721977357,0.363997861,1.510354208,1.146356347,,,,,,,
81,i blog about salt water aquarium ownership .,0.28197723,0.682948648,0.537370115,1.502295993,0.964925878,,,,,,,
82,i breed maine coon cats and show them .,0.235936166,0.660948628,0.515448386,1.412333181,0.896884795,,,,,,,
83,i brew my own beer .,0.297572458,0.710854834,0.601032789,1.609460082,1.008427293,,,,,,,
84,i broke my arm skiing once .,0.384641812,0.617782026,0.383962223,1.386386062,1.002423838,,,,,,,
85,i build aquariums for a living .,0.296825818,0.704465173,0.596852106,1.598143097,1.001290991,,,,,,,
86,i build my own computers .,0.408535702,0.691093998,0.533124741,1.632754441,1.0996297,,,,,,,
87,i buy only organic food products .,0.360081894,0.760208892,0.629002516,1.749293302,1.120290786,,,,,,,
88,i ca sim very fast .,0.362761055,0.740022954,0.620465737,1.723249746,1.102784009,,,,,,,
89,i ca swim very fast .,0.298654408,0.704907543,0.6963736,1.699935551,1.003561951,,,,,,,
90,i came from japan to teach high school over 10 years ago .,0.331656146,0.720383731,0.580419248,1.632459125,1.052039877,,,,,,,
91,i can also squat 400 pounds .,0.367423617,0.733461184,0.621126586,1.722011386,1.1008848,,,,,,,
92,i can be quite forgetful .,0.367536893,0.741751957,0.491439132,1.600727983,1.109288851,,,,,,,
93,i can beat anyone in chess .,0.255384439,0.667273302,0.565623809,1.488281549,0.922657741,,,,,,,
94,i can benchpress 345 pounds .,0.395865196,0.661861607,0.588311121,1.646037924,1.057726803,,,,,,,
95,i can do convincing bird calls .,0.227253491,0.682476379,0.593035972,1.502765842,0.90972987,,,,,,,
96,i can do many celebrity impressions .,0.287116033,0.681626379,0.711215118,1.679957529,0.968742411,,,,,,,
97,i can drive a tractor .,0.345905382,0.744550148,0.556053538,1.646509068,1.09045553,,,,,,,
98,"i can jump straight up , out of a pool .",0.300993026,0.68370426,0.551069622,1.535766908,0.984697286,,,,,,,
99,i can knit .,0.302019026,0.704940433,0.576785137,1.583744596,1.00695946,,,,,,,
100,i can move objects with my mind .,0.419852539,0.729127711,0.584251537,1.733231787,1.14898025,,,,,,,
101,i can never decide between a chili corn dog and a cheesy hot dog .,0.243281359,0.736202394,0.664953103,1.644436856,0.979483753,,,,,,,
102,i can only see 200 feet in front of me .,0.37456478,0.734961529,0.54679769,1.656323999,1.109526309,,,,,,,
103,i can recite the movie young frankenstein word for word .,0.286306714,0.746403562,0.61788664,1.650596916,1.032710277,,,,,,,
104,i can run very fast for long distances .,0.409569859,0.686609394,0.683726287,1.77990554,1.096179253,,,,,,,
105,i can say the alphabet backwards .,0.317365597,0.716475043,0.52669565,1.56053629,1.03384064,,,,,,,
106,i can t get enough of lindsey stirling s music .,0.240273906,0.731485601,0.692883781,1.664643287,0.971759507,,,,,,,
107,i can type 140 words per minute .,0.445286174,0.705495934,0.587167654,1.737949761,1.150782108,,,,,,,
108,i cannot choose between lollipops and rainbows .,0.299791053,0.764899421,0.689710588,1.754401062,1.064690474,,,,,,,
109,i cannot get enough of lindsey spirlings music .,0.236833326,0.723802879,0.700030667,1.660666872,0.960636205,,,,,,,
110,i cannot wait to start my new life .,0.451111878,0.748300777,0.671387652,1.870800307,1.199412655,,,,,,,
111,i care deeply about animals .,0.285561334,0.729420936,0.719816557,1.734798826,1.014982269,,,,,,,
112,i care deeply for my friends and others close to me .,0.355450303,0.782626037,0.664857486,1.802933826,1.13807634,,,,,,,
113,i changed my hair color to blue .,0.323280239,0.751533433,0.612406664,1.687220336,1.074813672,,,,,,,
114,i check my reflection in the mirror constantly .,0.386974669,0.7693322,0.566775208,1.723082077,1.156306869,,,,,,,
115,i chew my nails .,0.337076212,0.735474674,0.545969157,1.618520043,1.072550886,,,,,,,
116,i clean houses for extra money .,0.50221445,0.644106573,0.455275,1.601596023,1.146321023,,,,,,,
117,i coach little league baseball .,0.194317362,0.650351728,0.537687675,1.382356765,0.84466909,,,,,,,
118,i coexist well with my husband .,0.318193196,0.765299482,0.64292741,1.726420088,1.083492678,,,,,,,
119,i collect bugs in jars .,0.246901328,0.692532521,0.516964908,1.456398757,0.939433849,,,,,,,
120,i collect little figurines .,0.309746818,0.694924816,0.51163046,1.516302094,1.004671634,,,,,,,
121,i collect seashells .,0.25023778,0.703905214,0.549471769,1.503614763,0.954142994,,,,,,,
122,i collect single malt scotch .,0.281362512,0.671115334,0.560741313,1.513219159,0.952477846,,,,,,,
123,i collect stamps .,0.323460945,0.688530515,0.525752827,1.537744286,1.011991459,,,,,,,
124,i collect stray people like crazy cat ladys collect cats .,0.26311712,0.695978638,0.518584686,1.477680445,0.959095759,,,,,,,
125,i collect toys wearing little rain coats .,0.270134467,0.696103233,0.55449905,1.52073675,0.9662377,,,,,,,
126,i collect vintage cars .,0.342459368,0.691904116,0.587336464,1.621699948,1.034363485,,,,,,,
127,i commute by bus .,0.406830405,0.75272087,0.558770803,1.718322079,1.159551276,,,,,,,
128,i compete in dog agility classes .,0.285469611,0.68913239,0.567781836,1.542383837,0.974602001,,,,,,,
129,i cook every night .,0.369334581,0.68101029,0.612126641,1.662471512,1.050344871,,,,,,,
130,i could eat less .,0.339360308,0.715251198,0.550067411,1.604678917,1.054611506,,,,,,,
131,i could eat meatloaf every night and never get tired of it .,0.322350048,0.694603771,0.691629481,1.7085833,1.016953819,,,,,,,
132,i could never be locked down to one partner .,0.367760609,0.762241518,0.554570007,1.684572134,1.130002127,,,,,,,
133,i cry when i watch gone with the wind .,0.210780675,0.681760557,0.534302974,1.426844206,0.892541231,,,,,,,
134,i cs and ds .,0.355897209,0.742125939,0.580429366,1.678452514,1.098023148,,,,,,,
135,i cuddle up with my dog every night .,0.196352148,0.660845874,0.743304667,1.600502689,0.857198022,,,,,,,
136,i currently hold three jobs .,0.474448711,0.728454801,0.465161799,1.668065311,1.202903512,,,,,,,
137,i currently suffer from social anxiety .,0.415396727,0.711903143,0.473645785,1.600945654,1.12729987,,,,,,,
138,i currently work at target .,0.324840466,0.663085374,0.500563131,1.488488971,0.98792584,,,,,,,
139,i currently work for a watch dealer .,0.405099755,0.647612623,0.444246776,1.496959154,1.052712378,,,,,,,
140,i currently work for ibm in chicago .,0.497769309,0.65056862,0.468727761,1.61706569,1.148337929,,,,,,,
141,i dance on the weekends .,0.357030334,0.705613177,0.58970179,1.652345301,1.062643511,,,,,,,
142,i daydream about cafes in paris .,0.336036809,0.727662364,0.723000672,1.786699846,1.063699174,,,,,,,
143,i daydream during work .,0.423244137,0.761532985,0.597351039,1.782128161,1.184777122,,,,,,,
144,i decided to become vegan a year ago .,0.399851545,0.669487417,0.564376937,1.633715899,1.069338962,,,,,,,
145,i decided to publish my creations on internet .,0.416817057,0.762243746,0.606476603,1.785537406,1.179060802,,,,,,,
146,i decided to quick my job and travel for a couple of months .,0.472554315,0.747503057,0.568775164,1.788832537,1.220057373,,,,,,,
147,i deliver baked goods in the state where i live .,0.402189805,0.677589388,0.51061711,1.590396303,1.079779193,,,,,,,
148,i deliver packages for a living .,0.46551659,0.657846279,0.447419062,1.570781931,1.123362869,,,,,,,
149,i design video games for a living .,0.310063361,0.679784388,0.568310687,1.558158437,0.98984775,,,,,,,
150,i despise my boss .,0.408274896,0.666727443,0.377366599,1.452368938,1.075002339,,,,,,,
151,i despise sweet potatoes .,0.274813791,0.719029002,0.521220358,1.515063151,0.993842792,,,,,,,
152,i did a few small roles in tv series .,0.349734241,0.745230191,0.589992662,1.684957095,1.094964432,,,,,,,
153,i diet a lot .,0.389776096,0.733033367,0.552414823,1.675224286,1.122809463,,,,,,,
154,i do the shopping in my house .,0.392993462,0.74497776,0.598079805,1.736051027,1.137971222,,,,,,,
155,i do volunteer work for human rights organizations .,0.458818435,0.621167817,0.784635822,1.864622074,1.079986252,,,,,,,
156,i do whatever it takes to get what i want .,0.421939368,0.774398454,0.603968562,1.800306384,1.196337822,,,,,,,
157,i do yoga on tuesdays .,0.318414353,0.689708158,0.657576871,1.665699382,1.008122511,,,,,,,
158,i don t believe any a .,0.370307177,0.742692317,0.503258614,1.616258109,1.112999494,,,,,,,
159,i donate a part of my salary to charity each month .,0.480799815,0.703325211,0.548789901,1.732914927,1.184125026,,,,,,,
160,i donate any overstock to charity .,0.378144665,0.718434807,0.55486733,1.651446802,1.096579472,,,,,,,
161,i donate old clothes to the homeless .,0.39174383,0.686849016,0.518380883,1.596973729,1.078592846,,,,,,,
162,i draw all of my friends as my little pony characters .,0.230301619,0.654497954,0.55318557,1.437985142,0.884799572,,,,,,,
163,i draw during classes instead of taking notes .,0.366947698,0.709325795,0.537269397,1.61354289,1.076273493,,,,,,,
164,i dream of moving to the city .,0.404611578,0.747504107,0.720485038,1.872600724,1.152115685,,,,,,,
165,i dream of playing music for a living .,0.312026653,0.728065445,0.740996776,1.781088874,1.040092098,,,,,,,
166,i dream of winning the lottery .,0.333931321,0.755117588,0.702960681,1.792009589,1.089048908,,,,,,,
167,i drink 10 cups of tea every day .,0.335963441,0.666419735,0.580887599,1.583270775,1.002383176,,,,,,,
168,i drink a lot of apple martinis when i get a girls night out .,0.290631586,0.710725198,0.625780209,1.627136994,1.001356784,,,,,,,
169,i drink a lot of caffeine .,0.404095256,0.714760342,0.665103531,1.783959128,1.118855598,,,,,,,
170,i drink beers and go to the creek .,0.221616554,0.702267887,0.607259395,1.531143836,0.92388444,,,,,,,
171,i drink coffee every day .,0.464450033,0.667786663,0.597173464,1.729410161,1.132236697,,,,,,,
172,i drink diet coke .,0.321109765,0.687217851,0.574406076,1.582733692,1.008327615,,,,,,,
173,i drink hot chocolate during the winter .,0.306292222,0.693974202,0.672997821,1.673264244,1.000266424,,,,,,,
174,i drink protein powder with nothing but water .,0.237754708,0.695035247,0.594195981,1.526985936,0.932789955,,,,,,,
175,i drive 300 mile a week for work .,0.532708191,0.676325189,0.639819761,1.848853142,1.20903338,,,,,,,
176,i drive a ferrari .,0.328789936,0.745200421,0.620317014,1.694307371,1.073990357,,,,,,,
177,i drive a ford pinto .,0.334976966,0.756401278,0.607223593,1.698601837,1.091378244,,,,,,,
178,i drive a ford taurus .,0.341068271,0.746570095,0.606385228,1.694023594,1.087638366,,,,,,,
179,i drive a four wheel drive vehicle .,0.428826876,0.729182109,0.567212524,1.725221509,1.158008985,,,,,,,
180,i drive a jag .,0.313273976,0.746105708,0.62637868,1.685758363,1.059379684,,,,,,,
181,i drive a lifted chevy truck .,0.343500916,0.752697802,0.591535896,1.687734614,1.096198718,,,,,,,
182,i drive a moped .,0.313678667,0.746485051,0.600935292,1.661099009,1.060163718,,,,,,,
183,i drive a motorcycle instead of a car .,0.376484697,0.72874567,0.580910383,1.68614075,1.105230367,,,,,,,
184,i drive a nissan pathfinder .,0.320756627,0.753539825,0.622358004,1.696654456,1.074296451,,,,,,,
185,i drive a prius .,0.311592173,0.724822807,0.610772888,1.647187867,1.036414979,,,,,,,
186,i drive a silver lexus .,0.327957327,0.727942678,0.612240519,1.668140524,1.055900005,,,,,,,
187,i drive a yellow convertible in the rain .,0.273470171,0.730085093,0.638098709,1.641653972,1.003555263,,,,,,,
188,i drive an suv .,0.337085752,0.742135217,0.646977787,1.726198756,1.079220969,,,,,,,
189,i drive junk cars that no one else wants .,0.435529501,0.726455082,0.55179801,1.713782593,1.161984583,,,,,,,
190,i drive only toyota .,0.32873174,0.736563659,0.557305208,1.622600607,1.065295399,,,,,,,
191,i dye my hair every three months .,0.384607941,0.689325051,0.55939467,1.633327662,1.073932992,,,,,,,
192,i earn passive income that no one knows about .,0.403717021,0.768453689,0.514785743,1.686956453,1.17217071,,,,,,,
193,i eat a lot of carbs even though my doctor tells me not to .,0.374726793,0.706495633,0.549529231,1.630751657,1.081222426,,,,,,,
194,i eat a raw diet .,0.397603662,0.713721348,0.560051577,1.671376587,1.11132501,,,,,,,
195,i eat a strictly vegan diet .,0.412793332,0.677158451,0.55176584,1.641717623,1.089951783,,,,,,,
196,i eat all take out .,0.32741881,0.718159662,0.64009311,1.685671582,1.045578472,,,,,,,
197,i eat breakfast then go right back to bed .,0.342085569,0.740658216,0.627780861,1.710524647,1.082743786,,,,,,,
198,i eat exclusively meat .,0.324673457,0.69441287,0.592918522,1.612004848,1.019086326,,,,,,,
199,i eat large meals .,0.396705898,0.723367244,0.609861291,1.729934433,1.120073142,,,,,,,
200,i eat lots of pancakes and syrup .,0.296714619,0.661836188,0.669741486,1.628292293,0.958550807,,,,,,,
201,i eat mainly chinese food .,0.345376008,0.722223378,0.633970417,1.701569803,1.067599386,,,,,,,
202,i eat out more than three times a week .,0.374407828,0.695162995,0.606845593,1.676416417,1.069570824,,,,,,,
203,i eat tuna fish salad at least every day .,0.226003779,0.671023143,0.647216006,1.544242927,0.897026921,,,,,,,
204,i enjoy all things my little pony .,0.244499323,0.734466737,0.697936949,1.676903009,0.97896606,,,,,,,
205,i enjoy being around people .,0.395200767,0.738156137,0.744222795,1.877579698,1.133356903,,,,,,,
206,i enjoy budweiser beer .,0.280171798,0.709403544,0.683676067,1.673251409,0.989575341,,,,,,,
207,i enjoy building houses .,0.360976084,0.694278433,0.672349564,1.72760408,1.055254516,,,,,,,
208,i enjoy clothing with exotic prints .,0.388724939,0.721021083,0.718043458,1.82778948,1.109746022,,,,,,,
209,i enjoy cold winters and strong breezes .,0.290858638,0.740047339,0.70612219,1.737028167,1.030905977,,,,,,,
210,i enjoy coloring books .,0.304688466,0.730665776,0.736856868,1.77221111,1.035354242,,,,,,,
211,"i enjoy crosswords , crocheting , and football .",0.276288321,0.69243468,0.696875575,1.665598577,0.968723002,,,,,,,
212,i enjoy dating women .,0.324696357,0.721315053,0.67396595,1.71997736,1.04601141,,,,,,,
213,i enjoy deep sea diving .,0.25531404,0.693294515,0.758537763,1.707146318,0.948608555,,,,,,,
214,i enjoy doing beadwork and writing my own patterns .,0.380416019,0.655805742,0.703434458,1.739656219,1.036221761,,,,,,,
215,i enjoy dressing up to go out clubbing .,0.361706589,0.695753933,0.737121663,1.794582184,1.057460521,,,,,,,
216,i enjoy eating pumpkins .,0.230839958,0.655166331,0.719318773,1.605325062,0.886006289,,,,,,,
217,i enjoy eating vegetarian food .,0.400547235,0.678751956,0.697830924,1.777130115,1.079299191,,,,,,,
218,i enjoy electronic music .,0.262158694,0.709324997,0.756998125,1.728481815,0.971483691,,,,,,,
219,i enjoy exploring new parts of the city .,0.40781551,0.692492098,0.753224476,1.853532084,1.100307608,,,,,,,
220,i enjoy going to festivals .,0.277699118,0.651668629,0.741785953,1.671153701,0.929367747,,,,,,,
221,i enjoy hitchhiking .,0.369400195,0.716428205,0.689449787,1.775278187,1.0858284,,,,,,,
222,i enjoy jazz music from when i was a girl .,0.22327424,0.701683078,0.720612479,1.645569797,0.924957318,,,,,,,
223,"i enjoy magic the gathering , it is a card game .",0.218163643,0.671155791,0.678297163,1.567616597,0.889319434,,,,,,,
224,i enjoy movies about aliens invading the earth .,0.296919896,0.653932519,0.726150575,1.677002989,0.950852415,,,,,,,
225,i enjoy mowing my lawn on sunny days .,0.308184095,0.719759898,0.637175327,1.66511932,1.027943992,,,,,,,
226,i enjoy my steaks cooked medium rare .,0.317637303,0.707371491,0.727095264,1.752104057,1.025008793,,,,,,,
227,i enjoy mystery flavour cake .,0.229403742,0.633785129,0.727854282,1.591043154,0.863188871,,,,,,,
228,i enjoy organizing my surroundings .,0.434157707,0.731265121,0.666358179,1.831781007,1.165422828,,,,,,,
229,"i enjoy playing recreational games like cards , darts or billiards .",0.338165263,0.710564495,0.648799497,1.697529255,1.048729758,,,,,,,
230,i enjoy playing retro video games on my 386 .,0.285250113,0.700301917,0.666175583,1.651727613,0.98555203,,,,,,,
231,i enjoy putting alcohol in my coffee .,0.356081821,0.699530239,0.732618214,1.788230274,1.05561206,,,,,,,
232,i enjoy reading journals and guides related to psychology .,0.344916794,0.703717047,0.679597136,1.728230977,1.048633841,,,,,,,
233,i enjoy talking to strangers .,0.376079684,0.727663061,0.689319928,1.793062674,1.103742745,,,,,,,
234,i enjoy working out and learning new things .,0.487488145,0.714969926,0.781707184,1.984165255,1.202458072,,,,,,,
235,i enjoy writing for long periods of time .,0.404905993,0.695762953,0.631201173,1.731870119,1.100668947,,,,,,,
236,i enjoying keeping up with the news and learning about political issues .,0.381240983,0.685862844,0.595303036,1.662406863,1.067103827,,,,,,,
237,i enjoys kayaking in my free time .,0.297182603,0.667314355,0.779605455,1.744102413,0.964496958,,,,,,,
238,i escaped and later became a carpenter .,0.390843082,0.718155077,0.579767149,1.688765308,1.108998159,,,,,,,
239,i exercise often and have nice muscles .,0.406883997,0.72310811,0.675912672,1.805904779,1.129992107,,,,,,,
240,i faint at the sight of blood .,0.364592304,0.765620921,0.566961974,1.697175199,1.130213225,,,,,,,
241,i fantasize about living in another country .,0.38710499,0.750587194,0.659485331,1.797177515,1.137692184,,,,,,,
242,i fantasize about taking over the world .,0.349045016,0.744872876,0.660057268,1.753975161,1.093917892,,,,,,,
243,i favorite brand of clothing is donna karen .,0.336400388,0.743081092,0.711763789,1.79124527,1.07948148,,,,,,,
244,i feel competitive against other women .,0.367580606,0.683919962,0.576365692,1.62786626,1.051500567,,,,,,,
245,i feel old .,0.329659445,0.666228479,0.4262511,1.422139024,0.995887924,,,,,,,
246,i fell in love this summer .,0.300541471,0.74109967,0.776498483,1.818139624,1.041641141,,,,,,,
247,i find joy in the littlest things .,0.322675022,0.761816482,0.754885633,1.839377137,1.084491504,,,,,,,
248,i fix airplanes for a living .,0.39003551,0.641141787,0.567676381,1.598853679,1.031177297,,,,,,,
249,i flirted with the dmv officer in order to pass my driving exam .,0.342545745,0.736588706,0.667411701,1.746546152,1.079134451,,,,,,,
250,i freeze up in social situations .,0.384177351,0.73957197,0.566821541,1.690570862,1.123749321,,,,,,,
251,i geocache in my spare time .,0.259294648,0.634171159,0.554381929,1.447847737,0.893465808,,,,,,,
252,i get along better with animals than people .,0.294180709,0.737269449,0.703648413,1.735098571,1.031450158,,,,,,,
253,i get distracted easily .,0.384336095,0.757733704,0.517012128,1.659081927,1.142069799,,,,,,,
254,i get good grades in school .,0.395497434,0.722178578,0.65159341,1.769269421,1.117676012,,,,,,,
255,i get paid over 5 million a year to dribble a ball .,0.283273363,0.656980953,0.60399771,1.544252025,0.940254316,,,,,,,
256,i get sad a lot .,0.286288198,0.706516875,0.378829852,1.371634925,0.992805073,,,,,,,
257,i get up at 4am everyday .,0.407571106,0.720488295,0.539168143,1.667227544,1.128059401,,,,,,,
258,i give everybody that comes in front me a fair chance .,0.363413152,0.775577165,0.646083774,1.785074091,1.138990317,,,,,,,
259,i give lessons on string instruments .,0.255019967,0.700473903,0.554678534,1.510172403,0.955493869,,,,,,,
260,i give out sports information .,0.314347996,0.728720786,0.687489556,1.730558337,1.043068782,,,,,,,
261,i go gambling in my spare time .,0.333994998,0.682431332,0.569338098,1.585764428,1.01642633,,,,,,,
262,i go to a catholic high school in new england .,0.371468513,0.651090482,0.478136063,1.500695058,1.022558995,,,,,,,
263,i go to at least 10 concerts a year .,0.285619301,0.700206159,0.651167113,1.636992574,0.985825461,,,,,,,
264,i go to craft shows on the weekends .,0.429270113,0.691938534,0.65451566,1.775724307,1.121208647,,,,,,,
